ID,SpinCrossoverEnergy,HomoLumoGap,IsSpinCrossover,TransitionMetal
BMPYMN,0.0594,0.6162,True,Mn
BOFMIU,-1.8108,2.5038,False,Mn
BOLZAG,-0.8522,1.7490,False,Mn
BUBGIP,-0.0685,1.7565,True,Mn
BUZQOE,-1.3231,2.0548,False,Mn
CABPEA,-0.7930,2.7190,False,Mn
CAMJUY,-0.8878,2.7084,False,Mn
CATHIP,-0.5046,1.7749,False,Mn
CEDVUF,-1.4132,1.4641,False,Mn
CIDJUX,-0.8479,1.6965,False,Mn
CIDKAE,-0.8150,1.6765,False,Mn
CUJPAY,-1.3871,2.1050,False,Mn
CUKCEQ10,-1.0453,2.0455,False,Mn
DIMPEU10,-1.5141,2.7495,False,Mn
DIMPEU11,-1.5126,2.7494,False,Mn
DIVCAO,-0.6040,1.4267,False,Mn
DMCPMN,0.9150,1.0646,False,Mn
DMCPMN01,0.9034,1.0455,False,Mn
DMCPMN03,0.9165,1.0649,False,Mn
DURMIO,-1.4305,2.1577,False,Mn
DURQIR,-1.0870,1.6887,False,Mn
ECOQIX,-1.0652,2.7759,False,Mn
EDIFII,2.6893,1.7188,False,Mn
EDOYAX,0.8455,0.0442,False,Mn
EHAWOZ,-0.4224,1.0874,False,Mn
EJAYUK,-1.8405,1.7290,False,Mn
EJEVAR,-1.8037,3.4721,False,Mn
ERAFEJ,-0.8478,1.3035,False,Mn
FIDVIY,-1.3840,2.0345,False,Mn
FIXGOJ,-1.1753,1.4006,False,Mn
FOPCAR,4.3798,2.6003,False,Mn
FULXUF,-1.0844,1.4496,False,Mn
FULXUF01,-1.0123,1.4556,False,Mn
FULXUF02,-1.0114,1.4679,False,Mn
FULXUF04,-1.0055,1.4430,False,Mn
GAQWIE,-1.4438,2.8250,False,Mn
GOGJOC,-0.4650,0.1988,False,Mn
GOJNID,-0.7066,1.3602,False,Mn
GOLLAV,-1.7150,2.1484,False,Mn
GOMVEK,-0.6892,0.9748,False,Mn
GOMVEK01,-0.6899,0.9783,False,Mn
GORDAU,-1.1015,0.2458,False,Mn
HAHXOE,-1.5133,1.3731,False,Mn
HAHYAR,-1.5270,1.3755,False,Mn
HAZSUW,-1.3854,1.2496,False,Mn
HEVKEB,2.0612,2.5498,False,Mn
HEVKIF,2.1628,2.2356,False,Mn
HIPZEO,-0.6421,2.6365,False,Mn
HITDUK,-0.7339,0.8892,False,Mn
HOGBIQ,-1.4175,2.4418,False,Mn
ICEFAA,-1.1232,2.2977,False,Mn
IDEFUU,-1.7174,2.0607,False,Mn
IHIGEN,2.7649,2.6986,False,Mn
IPIBUE,-1.6757,2.0938,False,Mn
IWOWEX,-1.6850,3.3347,False,Mn
JAGMEK02,-1.1845,1.8533,False,Mn
JAMKUE,-1.1697,2.0417,False,Mn
KARPEB,-1.6937,2.8499,False,Mn
KESSUY,-0.7834,0.6088,False,Mn
KEWBIX,-1.2018,1.5388,False,Mn
KEWYAO,-1.0741,1.1695,False,Mn
KEYPIT,-0.9866,1.1705,False,Mn
KIXSOA,2.6590,2.0992,False,Mn
LAKRIY02,3.0401,2.9455,False,Mn
LOGLUR,2.6310,2.3284,False,Mn
LOLTOV,-2.0411,2.1252,False,Mn
MEGMER,-1.5777,1.5899,False,Mn
MIFFIT,-1.5258,1.9161,False,Mn
MIRRUB,-1.1848,1.8406,False,Mn
MONKIK,-1.0937,1.7090,False,Mn
NABKUZ,-1.4830,1.9852,False,Mn
NACNOV,-1.3509,0.9074,False,Mn
NACNOV01,-1.3559,0.9043,False,Mn
NACNUB,-1.5590,0.9826,False,Mn
NEPLAW,-1.1362,2.5632,False,Mn
NESZUJ,-1.5138,1.5128,False,Mn
NETBAS,-1.7503,2.2562,False,Mn
NETBIA,-1.4647,1.5352,False,Mn
NIJYOW,-1.2604,1.4169,False,Mn
NUJDAZ,-0.8601,1.0725,False,Mn
NUKCON,-1.1211,2.4438,False,Mn
NUNKEN,-1.1976,1.3430,False,Mn
OCIGOZ01,-1.8451,1.3449,False,Mn
OGIHEU,-1.4508,1.4351,False,Mn
OGUJIK,-1.2862,1.0417,False,Mn
OGUJOQ,-1.2353,1.1895,False,Mn
OTUTAZ,-0.5779,2.4229,False,Mn
OWELAF,-1.5814,2.9818,False,Mn
OWEMAF,-0.7110,0.7154,False,Mn
PARTEI,-1.1854,1.6990,False,Mn
PIDYOR,-0.9018,1.3036,False,Mn
PIHWEI,-2.0495,3.5556,False,Mn
PIKZIT,-1.5206,1.9755,False,Mn
PIPCEY,-0.7526,1.2183,False,Mn
PITBAW,-0.4091,0.9801,False,Mn
POVXAA,-1.7907,3.0408,False,Mn
POWROJ,-1.4656,1.1613,False,Mn
PULGAG,-0.8827,1.8378,False,Mn
QEMWEN,-1.6658,2.1862,False,Mn
QITFAC,-1.6642,1.6398,False,Mn
QITHEI,-0.7006,1.6341,False,Mn
QITHIM,-0.6490,0.0752,False,Mn
QIVSOG,-1.5694,1.5234,False,Mn
QOGXUF01,-0.4630,-0.5919,False,Mn
QOHFAW,-1.9512,2.1390,False,Mn
QOQKUC,-1.4289,1.4004,False,Mn
QOYWIN,-1.3472,1.4537,False,Mn
QUNFIR,-0.4616,0.5234,False,Mn
RAHXAB,-0.3831,1.5299,False,Mn
ROKSIW,-0.9620,1.2433,False,Mn
ROYGUJ,-1.4470,1.9054,False,Mn
SEGKOH,-1.2437,2.2859,False,Mn
SELJUP,-0.3093,1.0395,False,Mn
SENDOH,-1.4645,1.5890,False,Mn
SEVNAI,-0.8134,1.2180,False,Mn
SEVNAI01,-0.8138,1.2256,False,Mn
SEVNAI02,-0.8128,1.2142,False,Mn
SILLAD,-1.0763,1.8959,False,Mn
SOBQUW,-1.2042,1.1158,False,Mn
SOHKAC,1.2604,-0.0981,False,Mn
SOHKEG,-0.4118,0.7734,False,Mn
SUBGOO,-2.3233,1.6848,False,Mn
SUBQAK,-2.2693,2.1878,False,Mn
SUDRER,2.7564,2.0970,False,Mn
SUKJIU,2.5977,2.3971,False,Mn
TECFIR,-0.9672,1.5344,False,Mn
TEGPUQ,-0.9383,2.2804,False,Mn
TEGQAX,0.2090,0.5653,True,Mn
TOPJUF,-1.5507,1.8127,False,Mn
TUDJEH,-1.0537,0.9866,False,Mn
TUDJEH01,-1.0525,0.9800,False,Mn
TUKQOF,-0.8099,0.9758,False,Mn
TUSQIJ,2.7522,2.3910,False,Mn
UCARAU,-1.6241,1.1167,False,Mn
UDOKON,1.0164,0.0448,False,Mn
VAVDOM,-1.7781,2.4712,False,Mn
VEKFIA,-0.3027,0.9317,False,Mn
VEKFIA01,-0.3034,0.9313,False,Mn
VIFPIJ,-1.4311,2.2599,False,Mn
VIFWUD,-1.1834,1.7222,False,Mn
VILLOS,-1.5687,2.3053,False,Mn
VINHEG,-1.1593,1.3691,False,Mn
VIPGEG,3.5294,3.9717,False,Mn
VIZYUY,-1.0549,1.4068,False,Mn
WAZVOI,-0.7824,1.8571,False,Mn
WEQGEF,3.1548,2.3370,False,Mn
WERHUZ,-1.5067,1.6463,False,Mn
WEXYIH,-1.6881,1.5561,False,Mn
WOTRUU,-1.2689,1.2601,False,Mn
XAHLEY,-1.6563,2.1346,False,Mn
XAKHIC,-0.4689,1.2174,False,Mn
XAKJEA,-0.5042,1.0043,False,Mn
XECNAW,-1.5166,2.0549,False,Mn
XEKBIZ,2.7187,2.1092,False,Mn
YAXHOX,-1.1697,1.5152,False,Mn
YIKBEA,2.7113,1.9684,False,Mn
YUCHAF,-0.6525,0.9966,False,Mn
YUNVAE,-1.1566,1.1373,False,Mn
ZAFSOR,-1.2283,3.2068,False,Mn
ZERDIJ,-1.2742,1.5934,False,Mn
ZESWIG,-1.7964,1.7498,False,Mn
ZUGTUQ,-1.0680,1.0335,False,Mn
AMAVAN,-1.8176,2.4463,False,Mn
AMIPAP,-1.6761,1.0808,False,Mn
AMOFIT,-2.1152,2.6828,False,Mn
ATUNAE,-1.7499,3.5758,False,Mn
AYEHOD,1.9998,0.8865,False,Mn
AYEKAS,-0.5401,1.6799,False,Mn
AZISUY,-1.8973,2.5801,False,Mn
BAQXAS,-2.4343,4.0715,False,Mn
BAQXAS01,-2.4358,4.0729,False,Mn
BCHEIM,2.2556,0.2508,False,Mn
BISHIX,2.8842,3.7861,False,Mn
BIVWIM,-0.4380,0.1281,False,Mn
BOQPED,-1.4850,1.8176,False,Mn
BRURMN,-2.4930,3.9225,False,Mn
BRURMN10,-2.5882,3.9052,False,Mn
BUTMNC,2.8292,2.2496,False,Mn
CAXTIH,-1.9306,2.9180,False,Mn
CEHZIZ,-1.9417,3.3579,False,Mn
CERWOL,4.2633,3.2876,False,Mn
CETDAG,0.2336,1.0169,True,Mn
CEVFEO,2.6963,3.5206,False,Mn
CEVHEQ,2.0579,3.4757,False,Mn
CGLYMN,-2.1298,3.9453,False,Mn
CICHEC,-1.8549,2.1177,False,Mn
CIMGOU,2.3361,3.6057,False,Mn
CIMXUS,1.7302,3.5944,False,Mn
CPMNCO01,2.2705,3.9596,False,Mn
CPMNCO02,2.2743,3.9608,False,Mn
CPMNCO03,2.2717,3.9586,False,Mn
CPMNCO04,2.2723,3.9549,False,Mn
CPMNCO05,2.2712,3.9585,False,Mn
DAMXUL,-2.0397,3.4061,False,Mn
DAPBUR,-1.2568,3.1387,False,Mn
DAXPEY,2.7445,3.5067,False,Mn
DEYBOA,-1.0524,0.6747,False,Mn
DOPCOA,-0.1371,1.7798,True,Mn
DOWBEX,2.2513,3.8844,False,Mn
DUJXEM,-1.6610,1.6674,False,Mn
DURMEK,-1.5701,3.2049,False,Mn
EBENOP,2.1915,3.1067,False,Mn
EHIBEC,-2.3321,3.9349,False,Mn
ELIQEW,-2.2201,3.4030,False,Mn
EREYEG,-1.1822,0.9823,False,Mn
ETOROV,-1.1434,1.6371,False,Mn
EXONIO,-1.3955,0.9124,False,Mn
EYOTOB,-0.9753,1.1449,False,Mn
FAKXOE,1.7692,1.8111,False,Mn
FEYTIN,-1.7669,1.7362,False,Mn
FIKCEJ,-0.8486,0.4664,False,Mn
FOHFEP,-1.6673,2.2315,False,Mn
FOKNUO,2.7601,3.5627,False,Mn
FUGNAX,-2.0374,1.9473,False,Mn
FUPDUQ,2.6172,2.5179,False,Mn
GACCIW,-1.6699,2.2699,False,Mn
GAMFUV,-1.0810,0.4234,False,Mn
GEGMAI,2.7008,3.3176,False,Mn
GEQWOO,-1.4451,1.8236,False,Mn
GEVKAW,-1.3928,2.2438,False,Mn
GOJYAH,-1.7722,3.1382,False,Mn
GOMREH,3.4579,2.7683,False,Mn
GOTCAW,2.9112,3.2835,False,Mn
GOXXEW,-1.8868,2.3308,False,Mn
HEDWIZ,-1.6434,2.4219,False,Mn
HEVKOL,2.0701,2.8887,False,Mn
HIJPEV,2.6835,2.7755,False,Mn
HIKZEH,2.3937,2.6357,False,Mn
HILKIX,11.2219,0.3120,False,Mn
HIVDAU,3.2573,3.7567,False,Mn
HIVFEA,3.3662,3.1714,False,Mn
HIVFEA01,3.3679,3.1715,False,Mn
HIYXOC,-0.0668,0.5987,True,Mn
HOLTEH,-1.7900,2.0332,False,Mn
HUCNUP,-1.5989,1.2435,False,Mn
HUDRUU,-1.3734,1.6599,False,Mn
ICPNMN,1.8332,2.0042,False,Mn
